Time, Accel_X, Accel_Y, Accel_Z, Gyro_X, Gyro_Y, Gyro_Z
1733732998.049548149, 0.072689466, 0.436915089, 9.817379724, -0.009369613, -0.169205325, 1.235271985
1733732998.052049160, 0.175947338, 0.346826688, 9.719949803, 0.002043950, -0.147716651, 1.234214603
1733732998.054548025, 0.241008356, 0.316513225, 9.687117029, 0.020198319, -0.119944355, 1.232751063
1733732998.057048082, 0.291758367, 0.298372843, 9.617839266, 0.044002106, -0.087926314, 1.228335595
1733732998.059548140, 0.279524121, 0.279619514, 9.579464159, 0.068837148, -0.055575165, 1.231373756
1733732998.062047005, 0.298702042, 0.353683762, 9.545960080, 0.096810912, -0.027529549, 1.231772644
1733732998.064548016, 0.310637390, 0.380867026, 9.524349450, 0.119546425, 0.003796096, 1.242710780
1733732998.067047119, 0.372401365, 0.450368495, 9.499313651, 0.143302701, 0.029427397, 1.248357986
1733732998.069548130, 0.400950806, 0.401428145, 9.433574407, 0.165367630, 0.062463991, 1.254012756
1733732998.072049141, 0.459698491, 0.329643790, 9.318705898, 0.198279054, 0.094763474, 1.268761555
1733732998.074548006, 0.440173789, 0.301818214, 9.199549941, 0.239934942, 0.121380810, 1.278741991
1733732998.077049017, 0.461812288, 0.217398963, 9.132883327, 0.284410930, 0.150360317, 1.284723903
1733732998.079548120, 0.531440012, 0.078676031, 9.051095240, 0.342548270, 0.173946577, 1.284389970
1733732998.082046986, 0.486746335, -0.005564592, 9.072397619, 0.416852754, 0.201176068, 1.279402109
1733732998.084547997, 0.477869548, -0.055179426, 9.083847959, 0.493577547, 0.223438923, 1.263847011
1733732998.087047100, 0.504246087, -0.085952272, 9.119086881, 0.575931302, 0.245296258, 1.242281212
1733732998.089547157, 0.496860798, -0.108942359, 9.272050865, 0.668461716, 0.271275181, 1.223575807
1733732998.092048168, 0.505750865, -0.143893793, 9.355062227, 0.746582511, 0.289600872, 1.197971777
1733732998.094547033, 0.513164958, -0.164875764, 9.435615443, 0.824704956, 0.312828564, 1.166185085
1733732998.097047091, 0.537016575, -0.237590107, 9.521471948, 0.902783620, 0.327597603, 1.134568729
1733732998.099548101, 0.573578841, -0.217500715, 9.584913343, 0.968214132, 0.342744411, 1.098365558
1733732998.102047205, 0.564119410, -0.249224125, 9.736323170, 1.026898085, 0.349895958, 1.064317922
1733732998.104548216, 0.496323792, -0.222076400, 9.847728539, 1.070453099, 0.350473331, 1.035458790
1733732998.107048988, 0.448258065, -0.194107546, 10.019816575, 1.097770581, 0.341246037, 1.003826615
1733732998.109548092, 0.421032155, -0.180117882, 10.151487346, 1.108524132, 0.328646409, 0.973349612
1733732998.112047195, 0.341319707, -0.189131960, 10.227460762, 1.098474002, 0.302428680, 0.941828864
1733732998.114548206, 0.271434234, -0.190603630, 10.287443319, 1.079609766, 0.270612613, 0.910482579
1733732998.117047071, 0.241257500, -0.199744337, 10.349784328, 1.056786902, 0.228292267, 0.884241520
1733732998.119548082, 0.150979249, -0.246497943, 10.358095864, 1.027715862, 0.193401022, 0.857864987
1733732998.122047186, 0.080317913, -0.229172516, 10.367792843, 0.993258685, 0.149050628, 0.843349454
1733732998.124549150, 0.057287985, -0.189713483, 10.367861676, 0.953524828, 0.099146638, 0.834359421
1733732998.127048016, 0.059334820, -0.161468364, 10.329062724, 0.913120759, 0.056641229, 0.824356375
1733732998.129547119, 0.029244688, -0.165980640, 10.312748089, 0.876954286, 0.013096681, 0.822122782
1733732998.132048130, 0.025597309, -0.148654278, 10.265688104, 0.849639681, -0.021006855, 0.821218799
1733732998.134548187, 0.063357973, -0.109466460, 10.200521592, 0.826892211, -0.051618081, 0.820085197
1733732998.137049198, 0.030247250, -0.127571303, 10.129736246, 0.818241145, -0.077716766, 0.823160669
1733732998.139548063, 0.039084944, -0.108702381, 10.038597774, 0.813855984, -0.098142679, 0.828507604
1733732998.142047167, 0.031023113, -0.112361357, 10.011496248, 0.814399455, -0.117628496, 0.829710101
1733732998.144548178, 0.000876493, -0.111565667, 9.942916163, 0.820943667, -0.128979049, 0.839848063
1733732998.147047043, -0.061485838, -0.081157558, 9.890124368, 0.835604422, -0.139377122, 0.839641562
1733732998.149547100, -0.022022503, -0.064941871, 9.843083274, 0.859059947, -0.147328735, 0.839064375
1733732998.152048111, -0.019379743, -0.096518263, 9.811152058, 0.887146124, -0.147223566, 0.841859975
1733732998.154549122, -0.026049771, -0.129881310, 9.776177243, 0.916702312, -0.137242412, 0.838576883
1733732998.157047987, -0.008128232, -0.171749672, 9.730850605, 0.956172383, -0.122406394, 0.824979342
1733732998.159548044, -0.013470801, -0.213519647, 9.718334295, 1.002332075, -0.101596719, 0.820613169
1733732998.162048101, -0.022653032, -0.218964717, 9.782997468, 1.052746673, -0.076950921, 0.813704690
1733732998.164547205, -0.035749555, -0.220818895, 9.827786726, 1.098633738, -0.046273862, 0.806437935
1733732998.167048216, -0.033208735, -0.125993203, 9.937243273, 1.139271366, -0.017990798, 0.799782189
1733732998.169548035, -0.065473079, -0.128394488, 10.011466695, 1.167256262, 0.012501038, 0.796674946
1733732998.172049046, -0.094976076, -0.060496557, 10.094678196, 1.187542519, 0.045582745, 0.792178092
1733732998.174548149, -0.085767098, -0.062506731, 10.147992595, 1.197325162, 0.080889603, 0.793934447
1733732998.177047014, -0.096550061, -0.048004563, 10.194609471, 1.200431153, 0.114130328, 0.800974487
1733732998.179548025, -0.061070037, -0.064466589, 10.254589596, 1.197567163, 0.149212229, 0.806970168
1733732998.182048082, -0.054134966, -0.093073453, 10.266194061, 1.186315361, 0.184717093, 0.807379895
1733732998.184548140, 0.011961908, -0.094564016, 10.313364964, 1.174306715, 0.218784036, 0.809010575
1733732998.187048197, 0.032534811, -0.142145483, 10.290867928, 1.166159945, 0.252156587, 0.813289689
1733732998.189547062, 0.075508235, -0.211862241, 10.325592850, 1.155538886, 0.280227477, 0.815522457
